task,metric,direction,model_value,baseline_value,delta,model_artifact,baseline_artifact,status
anomaly_detection,combined_auroc,higher,0.5789222222222222,,,anomaly_detection_2517828.json,,ok
anomaly_detection,combined_pr_auc,higher,0.6095036042665031,,,anomaly_detection_2517828.json,,ok
benchmark_core,dest_top1,higher,0.3166666626930237,0.19333334267139435,0.12333332002162933,benchmark_2517827.json,benchmark_baseline_2239996.json,ok
benchmark_core,dest_top5,higher,0.3499999940395355,0.4166666865348816,-0.06666669249534607,benchmark_2517827.json,benchmark_baseline_2239996.json,ok
benchmark_core,next_top1,higher,0.7666937708854675,0.7992684245109558,-0.03257465362548828,benchmark_2517827.json,benchmark_baseline_2239996.json,ok
benchmark_core,next_top5,higher,0.7836211919784546,0.8089615702629089,-0.025340378284454346,benchmark_2517827.json,benchmark_baseline_2239996.json,ok
benchmark_core,recon_acc_l0,higher,0.910252078123944,0.813475704534703,0.09677637358924107,benchmark_2517827.json,benchmark_baseline_2239996.json,ok
benchmark_core,recon_acc_l1,higher,0.8283435831587483,0.8632155166587822,-0.034871933500033814,benchmark_2517827.json,benchmark_baseline_2239996.json,ok
benchmark_core,recon_acc_l2,higher,0.9954720551463134,0.9790498073933905,0.01642224775292289,benchmark_2517827.json,benchmark_baseline_2239996.json,ok
change_detection,auc,higher,0.957029,0.950617,0.006411999999999973,change_detection_2517834.json,change_detection_baseline_2241113.json,ok
change_detection,margin,higher,0.4508488029241562,0.4069932922720909,0.04385551065206528,change_detection_2517834.json,change_detection_baseline_2241113.json,ok
cross_city_transfer,cross_city_mrr_mean,higher,,,,,,missing
cross_city_transfer,cross_city_ndcg10_mean,higher,,,,,,missing
cross_city_transfer,cross_city_top10_mean,higher,,,,,,missing
cross_city_transfer,cross_city_top1_mean,higher,,,,,,missing
cross_city_transfer,cross_city_top5_mean,higher,,,,,,missing
cross_city_transfer,cross_city_user_id_top1_mean,higher,,,,,,missing
embedding_retrieval,top1,higher,0.5120000243186951,0.4970000088214874,0.015000015497207642,embedding_retrieval_2517831.json,embedding_retrieval_baseline_2240237.json,ok
embedding_retrieval,top5,higher,0.6259999871253967,0.6150000095367432,0.010999977588653564,embedding_retrieval_2517831.json,embedding_retrieval_baseline_2240237.json,ok
invariance_suite,downsample_0.25_dest_top1,higher,0.6245,0.6145,0.010000000000000009,invariance_suite_2517830.json,invariance_baseline_2240234.json,ok
invariance_suite,prefix_1.00_dest_top1,higher,0.718,0.6745,0.04349999999999998,invariance_suite_2517830.json,invariance_baseline_2240234.json,ok
length_sensitivity,gap_dest_top1,higher,-0.1367291629642794,,,length_sensitivity_2517829.json,,ok
length_sensitivity,long_dest_top1,higher,0.6397058823529411,,,length_sensitivity_2517829.json,,ok
macro_eval,macro_js,lower,0.3149266023822457,,,macro_eval_2300197.json,,ok
macro_eval,macro_kl,lower,0.4930346369709155,,,macro_eval_2300197.json,,ok
macro_eval,macro_l1,lower,0.21622090613321798,,,macro_eval_2300197.json,,ok
macro_eval,macro_top1,higher,0.4099692685822438,,,macro_eval_2300197.json,,ok
next_poi_eval,next_poi_mrr,higher,,,,,,missing
next_poi_eval,next_poi_ndcg10,higher,,,,,,missing
next_poi_eval,next_poi_top1,higher,,,,,,missing
next_poi_eval,next_poi_top10,higher,,,,,,missing
next_poi_eval,next_poi_top5,higher,,,,,,missing
next_poi_eval,user_id_top1,higher,,,,,,missing
reverse_order,delta_nll,lower,5.739604759693146,4.0303124952316285,-1.7092922644615172,reverse_order_2517833.json,reverse_order_baseline_2241112.json,ok
reverse_order,delta_top1,higher,-0.14300000000000002,-0.10399999999999998,-0.039000000000000035,reverse_order_2517833.json,reverse_order_baseline_2241112.json,ok
similarity_retrieval,dest_mean_dist_km,lower,1377.729047457537,,,similarity_retrieval_2517828.json,,ok
similarity_retrieval,origin_mean_dist_km,lower,1377.7996117167932,,,similarity_retrieval_2517828.json,,ok
similarity_retrieval,self_retrieval_top1,higher,0.795,,,similarity_retrieval_2517828.json,,ok
similarity_retrieval,self_retrieval_top10,higher,0.878,,,similarity_retrieval_2517828.json,,ok
similarity_retrieval,spatial_mean_dist_km,lower,1377.4361567131916,,,similarity_retrieval_2517828.json,,ok
transfer_suite,prediction_mae_m_mean,lower,7229469.959111111,,,unitraj_transfer_suite_2261966.json,,ok
transfer_suite,recovery_mae_m_mean,lower,7808349.0863949,,,unitraj_transfer_suite_2261966.json,,ok
travel_time,mae_s@0.5,lower,173.56536865234375,,,travel_time_2517828.json,,ok
travel_time,mape@0.5,lower,0.6664385795593262,,,travel_time_2517828.json,,ok
travel_time,rmse_s@0.5,lower,204.9685516357422,,,travel_time_2517828.json,,ok
trip_classification,distance_bucket_top1,higher,0.5866667032241821,,,trip_classification_2517828.json,,ok
trip_classification,duration_bucket_top1,higher,0.7100000381469727,,,trip_classification_2517828.json,,ok
trip_classification,speed_mode_top1,higher,0.4166666865348816,,,trip_classification_2517828.json,,ok
unitraj_centroid,prediction_mae_m,lower,15.505243301391602,77.91753491210937,62.41229161071777,unitraj_eval_2517827.json,unitraj_external_eval_best_20260324_170752.json,ok
unitraj_centroid,recovery_mae_m,lower,5.032089710235596,17.161642579657602,12.129552869422007,unitraj_eval_2517827.json,unitraj_external_eval_best_20260324_170752.json,ok
unitraj_centroid_robust,prediction_mae_m,lower,179.99191284179688,,,unitraj_eval_robust_2517827.json,,ok
unitraj_centroid_robust,recovery_mae_m,lower,33.44611740112305,,,unitraj_eval_robust_2517827.json,,ok
unitraj_regression,prediction_mae_m,lower,15.847271919250488,77.91753491210937,62.070262992858886,unitraj_eval_regression_best_20260324_170752.json,unitraj_external_eval_best_20260324_170752.json,ok
unitraj_regression,recovery_mae_m,lower,5.3651227951049805,17.161642579657602,11.796519784552622,unitraj_eval_regression_best_20260324_170752.json,unitraj_external_eval_best_20260324_170752.json,ok
unitraj_regression_robust,prediction_mae_m,lower,185.316650390625,,,unitraj_eval_regression_robust_best_20260324_170752.json,,ok
unitraj_regression_robust,recovery_mae_m,lower,32.876808166503906,,,unitraj_eval_regression_robust_best_20260324_170752.json,,ok
